ts,phase,step_idx,reward,avg_reward,std_reward,training_time,implementation_time
1765858272.1154964,train,4,,,,6.7953482000000065,
1765858272.2936227,eval,4,,-1000,-1000,,
1765858284.856693,implement,4,,,,,0.015811299999995754
1765858307.1105237,implement,4,,,,,0.0010586000000074591
1765858318.749262,implement,4,,,,,0.0009009000000048673
1765858359.583699,implement,4,,,,,0.000960700000007364
1765858386.7619846,implement,4,,,,,0.001416699999992943
1765858386.819902,implement,4,,,,,0.0015062999999884141
1765858386.897461,implement,4,,,,,0.0011779000000160522
1765858506.357947,implement,4,,,,,0.0013811000000032436
1765858516.2001004,implement,4,,,,,0.0015618999999560401
1765858516.2595654,implement,4,,,,,0.0011865000000170767
1765858539.159033,implement,4,,,,,0.001345899999989797
1765858554.5259688,implement,4,,,,,0.001377300000001469
1765858596.7390268,implement,4,,,,,0.001216300000010051
1765858605.4561331,implement,4,,,,,0.001479200000005676
1765858659.5478518,implement,4,,,,,0.001251700000011624
1765858678.9376266,implement,4,,,,,0.0011967000000367989
1765858722.8914194,implement,4,,,,,0.0011450000000650107
1765858756.9721022,implement,4,,,,,0.0010351999999329564
1765858757.2321792,implement,4,,,,,0.0011567000000241023
1765858764.8847198,implement,4,,,,,0.0014478000000508473
1765858764.9413695,implement,4,,,,,0.0006338000000596367
1765858765.0207498,implement,4,,,,,0.0018161000000418426
1765858783.9217043,implement,4,,,,,0.0011491000000205531
1765858783.9754314,implement,4,,,,,0.0019611999999824548
1765858817.3465455,implement,4,,,,,0.0014357999999674576
1765858819.1633055,implement,4,,,,,0.0010895000000346045
1765858819.216199,implement,4,,,,,0.0014285000000882064
1765858837.698214,implement,4,,,,,0.0013268000000152824
1765858837.781238,implement,4,,,,,0.0010818999999173684
1765858837.8536034,implement,4,,,,,0.0010607000000391054
1765858839.498542,implement,4,,,,,0.0010813000000098327
1765858839.5513186,implement,4,,,,,0.0011852000000089902
1765858858.2367167,implement,4,,,,,0.0011026999999330656
1765858867.6175072,implement,4,,,,,0.0010385999999016349
1765858867.7009494,implement,4,,,,,0.0010946999999532636
1765858875.4948306,implement,4,,,,,0.0013165000000299187
1765858875.5706356,implement,4,,,,,0.0008745000000089931
1765858933.310887,implement,4,,,,,0.0015690999999833366
1765858933.4026003,implement,4,,,,,0.001207099999987804
1765858962.0506425,implement,4,,,,,0.0013777000000345652
1765858971.9842253,implement,4,,,,,0.0009516000000076019
1765859028.978248,implement,4,,,,,0.001308300000005147
1765859029.0562441,implement,4,,,,,0.0009765000000925284
1765859029.1176162,implement,4,,,,,0.001880600000049526
1765859035.3193893,implement,4,,,,,0.0012711000000535932
1765859085.9879653,implement,4,,,,,0.0012494999999717038
1765859106.5076492,implement,4,,,,,0.0012395999999625928
1765859106.5715606,implement,4,,,,,9.499999998752173e-05
1765859106.8207974,implement,4,,,,,0.0011124000000108936
1765859106.8904965,implement,4,,,,,0.0015536999999312684
1765859107.061604,implement,4,,,,,0.0018453999999792359
1765859116.8731964,implement,4,,,,,0.0011962999999468593
1765859132.9700322,implement,4,,,,,0.0014438000000609463
1765859150.3239908,implement,4,,,,,0.0009440999999696942
1765859167.4461722,implement,4,,,,,0.00170859999991535
1765859175.194883,implement,4,,,,,0.0014426000000185013
1765859175.2461584,implement,4,,,,,0.001068400000008296
1765859249.4333265,implement,4,,,,,0.001294599999937418
1765859251.2181833,implement,4,,,,,0.0009626999999454711
1765859258.0110707,implement,4,,,,,0.0015289000000393571
1765859258.0668302,implement,4,,,,,0.0009942000001501583
1765859261.8430524,implement,4,,,,,0.0009767999999894528
1765859270.1093233,implement,4,,,,,0.0014222999998310115
1765859270.1853943,implement,4,,,,,0.001261099999965154
1765859270.2385776,implement,4,,,,,0.0010414000000764645
1765859272.0041022,implement,4,,,,,0.0012369000000944652
1765859273.973902,implement,4,,,,,0.0008166999998593383
1765859280.4974635,implement,4,,,,,0.0017296999999416585
1765859288.7054992,implement,4,,,,,0.0011274999999386637
1765859307.4716032,implement,4,,,,,0.0014983000000938773
1765859315.8688762,implement,4,,,,,0.00126389999991261
1765859315.9530094,implement,4,,,,,0.001008199999887438
1765859331.229057,implement,4,,,,,0.0010715999999320047
1765859331.276868,implement,4,,,,,0.0010952000000088447
1765859367.693342,implement,4,,,,,0.001152099999899292
1765859367.7376125,implement,4,,,,,0.0011197000001175184
1765859381.1967707,implement,4,,,,,0.0012776999999459804
1765859381.2452528,implement,4,,,,,0.001294599999937418
1765859392.394422,implement,4,,,,,0.0015226000000438944
1765859392.4340897,implement,4,,,,,8.709999997336126e-05
1765859393.8215106,implement,4,,,,,0.001128600000129154
1765859402.051135,implement,4,,,,,0.0011667999999644962
1765859402.1159034,implement,4,,,,,0.0009735999999520573
1765859411.706023,implement,4,,,,,0.0012933000000430184
1765859425.2732158,implement,4,,,,,0.0011719999999968422
1765859434.8251264,implement,4,,,,,0.0012965000000804139
1765859442.948083,implement,4,,,,,0.0011587999999846943
1765859448.4075725,implement,4,,,,,0.00010010000005422626
1765859458.0442185,implement,4,,,,,0.0009557000000768312
1765859466.2767518,implement,4,,,,,0.0011411000000407512
1765859466.3301508,implement,4,,,,,0.0014590999999199994
1765859514.709147,implement,4,,,,,0.001530499999944368
1765859514.7785351,implement,4,,,,,0.001223799999934272
1765859516.179261,implement,4,,,,,0.0014696999999159743
1765859525.751227,implement,4,,,,,0.001231200000120225
1765859525.825717,implement,4,,,,,0.0013337000000319676
1765859532.8070006,implement,4,,,,,0.0011670000001231529
1765859532.85104,implement,4,,,,,0.0009863999998742656
1765859561.5711868,implement,4,,,,,0.0012811999999939871
1765859561.6178744,implement,4,,,,,0.0008827999999994063
1765859561.6834958,implement,4,,,,,0.001025199999958204
1765859571.3722959,implement,4,,,,,0.0009256000000732456
1765859584.9658384,implement,4,,,,,0.0010225000000900764
1765859585.0174882,implement,4,,,,,0.0012329999999565189
1765859586.4191658,implement,4,,,,,0.0012783999998191575
1765859586.465836,implement,4,,,,,0.0009436000000278
1765859601.65918,implement,4,,,,,0.001354300000002695
1765859611.4947197,implement,4,,,,,0.0011627999999745953
1765859665.1465275,implement,4,,,,,0.0011381000001620123
1765859665.194774,implement,4,,,,,0.0011879999999564461
1765859665.2752068,implement,4,,,,,0.0010769999998956337
1765859680.3755393,implement,4,,,,,0.001276899999993475
1765859683.0690331,implement,4,,,,,0.0013361999999688123
1765859683.1669736,implement,4,,,,,0.0010125999999672786
1765859698.360991,implement,4,,,,,0.0009155000000191649
1765859698.429803,implement,4,,,,,0.0012540999998691404
1765859716.0736537,implement,4,,,,,0.001480300000139323
1765859739.5207453,implement,4,,,,,0.0009677999998984887
1765859739.5827887,implement,4,,,,,0.001345099999980448
1765859746.640769,implement,4,,,,,0.0010964999999032443
1765859760.229951,implement,4,,,,,0.0014912999999978638
1765859776.5013738,implement,4,,,,,0.0009638999999879161
1765859776.5646422,implement,4,,,,,0.0010946000002149958
1765859790.266143,implement,4,,,,,0.0010258000002068002
1765859790.3172467,implement,4,,,,,9.540000019114814e-05
1765859805.3508794,implement,4,,,,,0.0009906000000228232
1765859805.4034011,implement,4,,,,,0.0015442000001257838
1765859805.4517293,implement,4,,,,,0.0011577000000215776
1765859813.6753592,implement,4,,,,,0.0014702000000852422
1765859823.4717984,implement,4,,,,,0.0013928000000760221
1765859851.925955,implement,4,,,,,0.0011082999999416643
1765859876.6948516,implement,4,,,,,0.0013115000001562294
1765859876.765965,implement,4,,,,,0.001090999999860287
